latitude,longitude,segment,bearing
42.34252,-71.08518,SymphonyEB,45
42.34293,-71.0847,Symphony_PrudentialEB,45
42.34534,-71.0817,PrudentialEB,45
42.34582,-71.08114,Prudential_CopleyEB,45
42.34977,-71.07825,CopleyEB,60
42.34997,-71.07748,Copley_ArlingtonEB,60
42.35157,-71.07167,ArlingtonEB,60
42.3518,-71.07081,Arlington_BoylstonEB,60
42.35245,-71.06483,BoylstonEB,20
42.35301,-71.06454,Boylston_ParkEB,20
42.35356,-71.06432,BoylstonWB,200
42.35552,-71.06316,Park_Wall_EB,30
42.35554,-71.06322,Park_Fence_EB,30
42.35556,-71.06326,Park_BoylstonWB,210
42.35559,-71.06335,Park_BoylstonWB,210
42.35614,-71.06243,Park_Govt_CtrEB,30
42.35621,-71.06257,Park_Loop,30
42.35625,-71.06264,Park_Fence_WB,210
42.35631,-71.06277,Park_Wall_WB,210
42.35927,-71.05946,Govt_CtrEB,35
42.35929,-71.05951,Govt_Ctr_ParkWB,215
42.35986,-71.05892,Govt_Ctr_Haymarket_or_LoopEB,35
42.35989,-71.05897,Govt_CtrWB,215
42.36139,-71.05796,HaymarketEB,0
42.36234,-71.05804,Haymarket_Govt_CtrWB,175
42.36238,-71.05804,HaymarketWB,175
42.36242,-71.05803,HaymarketEB,355
42.36281,-71.05811,HaymarketWB,160
42.36284,-71.05811,HaymarketWB,160
42.36287,-71.05811,Haymarket_N_StaEB,315
42.36316,-71.05827,N_Sta_HaymarketWB,150
42.36389,-71.05899,Haymarket_N_StaEB,315
42.36427,-71.05936,N_Sta_HaymarketWB,135
42.36494,-71.05996,Haymarket_N_StaEB,315
42.36543,-71.0604,N_StaEB,315
42.36543,-71.0604,N_StaWB,135
42.36562,-71.06432,N_Sta_Turnback,120
42.36563,-71.06057,N_StaEB,315
42.36563,-71.06058,N_StaWB,135
42.36565,-71.06417,N_Sta_Turnback,50
42.36572,-71.06385,N_Sta_Turnback,50
42.36574,-71.06466,N_Sta_Sci_ParkEB,300
42.36594,-71.06546,Sci_Park_N_StaWB,50
42.36599,-71.06321,Sci_Park_N_StaWB,50
42.36602,-71.06316,N_Sta_Turnback,50
42.36607,-71.061,N_Sta_Before_TurnbackEB,315
42.36609,-71.06298,N_Sta_Before_TurnbackEB,230
42.36615,-71.06284,N_Sta_Turnback,50
42.36627,-71.06649,N_Sta_Sci_ParkEB,300
42.36632,-71.06125,Sci_Park_N_StaWB,120
42.36633,-71.0669,Sci_Park_N_StaWB,120
42.36649,-71.06205,Sci_Park_N_StaWB,50
42.36654,-71.06181,N_Sta_Turnback,250
42.36654,-71.06188,N_Sta_Before_TurnbackEB,265
42.36668,-71.06772,Sci_ParkWB,125
42.36672,-71.06772,Sci_ParkEB,305
42.36689,-71.06814,Sci_ParkWB,125
42.36691,-71.06811,Sci_ParkEB,305
42.36738,-71.06911,Lechmere_Sci_ParkWB,125
42.36758,-71.06944,Sci_Park_LechmereEB,305
42.3679,-71.07014,Lechmere_Sci_ParkWB,125
42.36808,-71.07041,Sci_Park_LechmereEB,305
42.36854,-71.07141,Lechmere_Sci_ParkWB,125
42.36857,-71.07138,Sci_Park_LechmereEB,305
42.36894,-71.07209,Sci_Park_LechmereEB,305
42.36925,-71.07278,Lechmere_Sci_ParkWB,125
42.3696,-71.07338,Sci_Park_LechmereEB,305
42.37006,-71.07437,Lechmere_Sci_ParkWB,125
42.37017,-71.07452,Sci_Park_LechmereEB,305
42.37061,-71.07579,Lechmere,105
42.37062,-71.07565,Lechmere,285
42.37093,-71.07721,Lechmere,100
42.37108,-71.07723,Lechmere,305
42.3712,-71.07809,Lechmere_Rev,175
42.37123,-71.07801,Lechmere_Rev,175
42.37134,-71.07794,Lechmere_Rev,230
